year,state_name,,district_name,season,crop_name,crop_type,area,production
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Groundnut,Oilseeds,800,900
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Groundnut,Oilseeds,1500,2500
 1998-99,Andhra Pradesh,,Guntur,Kharif     ,Groundnut,Oilseeds,300,400
 1998-99,Andhra Pradesh,,Guntur,Rabi       ,Groundnut,Oilseeds,5900,9300
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Groundnut,Oilseeds,132300,109500
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Groundnut,Oilseeds,32000,59000
 1998-99,Andhra Pradesh,,Karimnagar,Kharif     ,Groundnut,Oilseeds,9300,3700
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Groundnut,Oilseeds,19900,29000
 1998-99,Andhra Pradesh,,Khammam,Kharif     ,Groundnut,Oilseeds,1700,1000
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Groundnut,Oilseeds,12100,15700
 1998-99,Andhra Pradesh,,Krishna,Kharif     ,Groundnut,Oilseeds,4000,3300
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Groundnut,Oilseeds,9100,15100
 1998-99,Andhra Pradesh,,Kurnool,Kharif     ,Groundnut,Oilseeds,209100,139000
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Groundnut,Oilseeds,40100,83100
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Groundnut,Oilseeds,85800,48800
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Groundnut,Oilseeds,44600,50000
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Groundnut,Oilseeds,2100,2000
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Groundnut,Oilseeds,7700,9900
 1998-99,Andhra Pradesh,,Nalgonda,Kharif     ,Groundnut,Oilseeds,37200,25300
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Groundnut,Oilseeds,16800,17100
 1998-99,Andhra Pradesh,,Nizamabad,Kharif     ,Groundnut,Oilseeds,300,400
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Groundnut,Oilseeds,14500,33800
 1998-99,Andhra Pradesh,,Prakasam,Kharif     ,Groundnut,Oilseeds,6900,5300
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Groundnut,Oilseeds,12200,18400
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Groundnut,Oilseeds,1300,600
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Groundnut,Oilseeds,7300,9400
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Kharif     ,Groundnut,Oilseeds,5300,8800
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Groundnut,Oilseeds,17300,43100
 1998-99,Andhra Pradesh,,Srikakulam,Kharif     ,Groundnut,Oilseeds,38200,36000
 1998-99,Andhra Pradesh,,Srikakulam,Rabi       ,Groundnut,Oilseeds,8200,9400
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Groundnut,Oilseeds,18100,21100
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Groundnut,Oilseeds,3700,6300
 1998-99,Andhra Pradesh,,Vizianagaram,Kharif     ,Groundnut,Oilseeds,62300,56700
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Groundnut,Oilseeds,6500,6400
 1998-99,Andhra Pradesh,,Warangal,Kharif     ,Groundnut,Oilseeds,28100,28500
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Groundnut,Oilseeds,31300,34100
 1998-99,Andhra Pradesh,,West Godavari,Kharif     ,Groundnut,Oilseeds,700,400
 1998-99,Andhra Pradesh,,West Godavari,Rabi       ,Groundnut,Oilseeds,4300,6400
 1998-99,Telangana,,Adilabad,Rabi       ,Horse-Gram,Pulses,3200,600
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Horse-Gram,Pulses,2300,900
 1998-99,Andhra Pradesh,,Anantapur,Rabi       ,Horse-Gram,Pulses,700,500
 1998-99,Andhra Pradesh,,Chittoor,Kharif     ,Horse-Gram,Pulses,3000,1700
 1998-99,Andhra Pradesh,,Chittoor,Rabi       ,Horse-Gram,Pulses,1100,800
 1998-99,Andhra Pradesh,,East Godavari,Kharif     ,Horse-Gram,Pulses,200,100
 1998-99,Andhra Pradesh,,East Godavari,Rabi       ,Horse-Gram,Pulses,2200,1200
 1998-99,Andhra Pradesh,,Kadapa,Kharif     ,Horse-Gram,Pulses,300,100
 1998-99,Andhra Pradesh,,Kadapa,Rabi       ,Horse-Gram,Pulses,400,200
 1998-99,Andhra Pradesh,,Karimnagar,Rabi       ,Horse-Gram,Pulses,1400,300
 1998-99,Andhra Pradesh,,Khammam,Rabi       ,Horse-Gram,Pulses,1000,400
 1998-99,Andhra Pradesh,,Krishna,Rabi       ,Horse-Gram,Pulses,1200,300
 1998-99,Andhra Pradesh,,Kurnool,Rabi       ,Horse-Gram,Pulses,2300,1400
 1998-99,Telangana,,Mahabubnagar,Kharif     ,Horse-Gram,Pulses,10300,3900
 1998-99,Telangana,,Mahabubnagar,Rabi       ,Horse-Gram,Pulses,3100,700
 1998-99,Andhra Pradesh,,Medak,Kharif     ,Horse-Gram,Pulses,500,200
 1998-99,Andhra Pradesh,,Medak,Rabi       ,Horse-Gram,Pulses,1300,300
 1998-99,Andhra Pradesh,,Nalgonda,Rabi       ,Horse-Gram,Pulses,4600,900
 1998-99,Andhra Pradesh,,Nizamabad,Rabi       ,Horse-Gram,Pulses,100,900
 1998-99,Andhra Pradesh,,Prakasam,Rabi       ,Horse-Gram,Pulses,1700,800
 1998-99,Andhra Pradesh,,Rangareddi,Kharif     ,Horse-Gram,Pulses,2000,700
 1998-99,Andhra Pradesh,,Rangareddi,Rabi       ,Horse-Gram,Pulses,400,100
 1998-99,Andhra Pradesh,,Sri Potti Sriramulu Nellore,Rabi       ,Horse-Gram,Pulses,800,300
 1998-99,Andhra Pradesh,,Srikakulam,Rabi       ,Horse-Gram,Pulses,19200,7300
 1998-99,Andhra Pradesh,,Visakhapatanam,Kharif     ,Horse-Gram,Pulses,500,300
 1998-99,Andhra Pradesh,,Visakhapatanam,Rabi       ,Horse-Gram,Pulses,7000,3800
 1998-99,Andhra Pradesh,,Vizianagaram,Rabi       ,Horse-Gram,Pulses,37200,7100
 1998-99,Andhra Pradesh,,Warangal,Rabi       ,Horse-Gram,Pulses,2000,400
 1998-99,Andhra Pradesh,,West Godavari,Rabi       ,Horse-Gram,Pulses,1100,400
 1998-99,Telangana,,Adilabad,Kharif     ,Jowar,Cereals,49800,60400
 1998-99,Telangana,,Adilabad,Rabi       ,Jowar,Cereals,93500,40900
 1998-99,Andhra Pradesh,,Anantapur,Kharif     ,Jowar,Cereals,3700,5800
 1998-99,Andhra Pradesh,,Anantapur,Rabi       ,Jowar,Cereals,14800,22100
